family,processor,vCPU,ram(GB),price($/h),daily_price,weekly_price,monthly_price
E4,AMD EPYC 7J13,4,64.0,0.146,3.5,24.53,106.58
E4,AMD EPYC 7J13,8,16.0,0.124,2.98,20.83,90.52
E4,AMD EPYC 7J13,8,32.0,0.148,3.55,24.86,108.04
E4,AMD EPYC 7J13,8,64.0,0.196,4.7,32.93,143.08
E4,AMD EPYC 7J13,8,128.0,0.292,7.01,49.06,213.16
E4,AMD EPYC 7J13,16,32.0,0.248,5.95,41.66,181.04
E4,AMD EPYC 7J13,16,64.0,0.296,7.1,49.73,216.08
E4,AMD EPYC 7J13,16,128.0,0.392,9.41,65.86,286.16
E4,AMD EPYC 7J13,16,256.0,0.584,14.02,98.11,426.32
E4,AMD EPYC 7J13,32,64.0,0.496,11.9,83.33,362.08
E4,AMD EPYC 7J13,32,128.0,0.592,14.21,99.46,432.16
E4,AMD EPYC 7J13,32,256.0,0.784,18.82,131.71,572.32
E4,AMD EPYC 7J13,32,512.0,1.168,28.03,196.22,852.64
E4,AMD EPYC 7J13,48,96.0,0.744,17.86,124.99,543.12
E4,AMD EPYC 7J13,48,192.0,0.888,21.31,149.18,648.24
E4,AMD EPYC 7J13,48,384.0,1.176,28.22,197.57,858.48
E4,AMD EPYC 7J13,48,768.0,1.752,42.05,294.34,1278.96
E4,AMD EPYC 7J13,64,128.0,0.992,23.81,166.66,724.16
E4,AMD EPYC 7J13,64,256.0,1.184,28.42,198.91,864.32
E4,AMD EPYC 7J13,64,512.0,1.568,37.63,263.42,1144.64
E4,AMD EPYC 7J13,64,1024.0,2.336,56.06,392.45,1705.28
E4,AMD EPYC 7J13,96,192.0,1.488,35.71,249.98,1086.24
E4,AMD EPYC 7J13,96,384.0,1.776,42.62,298.37,1296.48
E4,AMD EPYC 7J13,96,768.0,2.352,56.45,395.14,1716.96
E4,AMD EPYC 7J13,96,1536.0,3.504,84.1,588.67,2557.92
E4,AMD EPYC 7J13,128,256.0,1.984,47.62,333.31,1448.32
E4,AMD EPYC 7J13,128,512.0,2.368,56.83,397.82,1728.64
E4,AMD EPYC 7J13,128,1024.0,3.136,75.26,526.85,2289.28
E4,AMD EPYC 7J13,192,384.0,2.976,71.42,499.97,2172.48
E4,AMD EPYC 7J13,192,768.0,3.552,85.25,596.74,2592.96
E4,AMD EPYC 7J13,192,1536.0,4.704,112.9,790.27,3433.92
E5,AMD EPYC 9J14,2,4.0,0.038,0.91,6.38,27.74
E5,AMD EPYC 9J14,2,8.0,0.046,1.1,7.73,33.58
E5,AMD EPYC 9J14,2,16.0,0.062,1.49,10.42,45.26
E5,AMD EPYC 9J14,2,32.0,0.094,2.26,15.79,68.62
E5,AMD EPYC 9J14,4,8.0,0.076,1.82,12.77,55.48
E5,AMD EPYC 9J14,4,16.0,0.092,2.21,15.46,67.16
E5,AMD EPYC 9J14,4,32.0,0.124,2.98,20.83,90.52
E5,AMD EPYC 9J14,4,64.0,0.188,4.51,31.58,137.24
E5,AMD EPYC 9J14,8,16.0,0.152,3.65,25.54,110.96
E5,AMD EPYC 9J14,8,32.0,0.184,4.42,30.91,134.32
E5,AMD EPYC 9J14,8,64.0,0.248,5.95,41.66,181.04
E5,AMD EPYC 9J14,8,128.0,0.376,9.02,63.17,274.48
E5,AMD EPYC 9J14,16,32.0,0.304,7.3,51.07,221.92
E5,AMD EPYC 9J14,16,64.0,0.368,8.83,61.82,268.64
E5,AMD EPYC 9J14,16,128.0,0.496,11.9,83.33,362.08
E5,AMD EPYC 9J14,16,256.0,0.752,18.05,126.34,548.96
E5,AMD EPYC 9J14,32,64.0,0.608,14.59,102.14,443.84
E5,AMD EPYC 9J14,32,128.0,0.736,17.66,123.65,537.28
E5,AMD EPYC 9J14,32,256.0,0.992,23.81,166.66,724.16
E5,AMD EPYC 9J14,32,512.0,1.504,36.1,252.67,1097.92
E5,AMD EPYC 9J14,48,96.0,0.912,21.89,153.22,665.76
E5,AMD EPYC 9J14,48,192.0,1.104,26.5,185.47,805.92
E5,AMD EPYC 9J14,48,384.0,1.488,35.71,249.98,1086.24
E5,AMD EPYC 9J14,48,768.0,2.256,54.14,379.01,1646.88
E5,AMD EPYC 9J14,64,128.0,1.216,29.18,204.29,887.68
E5,AMD EPYC 9J14,64,256.0,1.472,35.33,247.3,1074.56
E5,AMD EPYC 9J14,64,512.0,1.984,47.62,333.31,1448.32
E5,AMD EPYC 9J14,64,1024.0,3.008,72.19,505.34,2195.84
E5,AMD EPYC 9J14,96,192.0,1.824,43.78,306.43,1331.52
E5,AMD EPYC 9J14,96,384.0,2.208,52.99,370.94,1611.84
E5,AMD EPYC 9J14,96,768.0,2.976,71.42,499.97,2172.48
E5,AMD EPYC 9J14,96,1536.0,4.512,108.29,758.02,3293.76
E5,AMD EPYC 9J14,128,256.0,2.432,58.37,408.58,1775.36
E5,AMD EPYC 9J14,128,512.0,2.944,70.66,494.59,2149.12
E5,AMD EPYC 9J14,128,1024.0,3.968,95.23,666.62,2896.64
E5,AMD EPYC 9J14,128,2048.0,6.016,144.38,1010.69,4391.68
E5,AMD EPYC 9J14,192,384.0,3.648,87.55,612.86,2663.04
E5,AMD EPYC 9J14,192,768.0,4.416,105.98,741.89,3223.68
E5,AMD EPYC 9J14,192,1536.0,5.952,142.85,999.94,4344.96
E6,AMD EPYC 9J45,2,4.0,0.038,0.91,6.38,27.74
E6,AMD EPYC 9J45,2,8.0,0.046,1.1,7.73,33.58
E6,AMD EPYC 9J45,2,16.0,0.062,1.49,10.42,45.26
E6,AMD EPYC 9J45,2,32.0,0.094,2.26,15.79,68.62
E6,AMD EPYC 9J45,4,8.0,0.076,1.82,12.77,55.48
E6,AMD EPYC 9J45,4,16.0,0.092,2.21,15.46,67.16
E6,AMD EPYC 9J45,4,32.0,0.124,2.98,20.83,90.52
E6,AMD EPYC 9J45,4,64.0,0.188,4.51,31.58,137.24
E6,AMD EPYC 9J45,8,16.0,0.152,3.65,25.54,110.96
E6,AMD EPYC 9J45,8,32.0,0.184,4.42,30.91,134.32
E6,AMD EPYC 9J45,8,64.0,0.248,5.95,41.66,181.04
E6,AMD EPYC 9J45,8,128.0,0.376,9.02,63.17,274.48
E6,AMD EPYC 9J45,16,32.0,0.304,7.3,51.07,221.92
E6,AMD EPYC 9J45,16,64.0,0.368,8.83,61.82,268.64
E6,AMD EPYC 9J45,16,128.0,0.496,11.9,83.33,362.08
E6,AMD EPYC 9J45,16,256.0,0.752,18.05,126.34,548.96
E6,AMD EPYC 9J45,32,64.0,0.608,14.59,102.14,443.84
E6,AMD EPYC 9J45,32,128.0,0.736,17.66,123.65,537.28
E6,AMD EPYC 9J45,32,256.0,0.992,23.81,166.66,724.16
E6,AMD EPYC 9J45,32,512.0,1.504,36.1,252.67,1097.92
E6,AMD EPYC 9J45,48,96.0,0.912,21.89,153.22,665.76
E6,AMD EPYC 9J45,48,192.0,1.104,26.5,185.47,805.92
E6,AMD EPYC 9J45,48,384.0,1.488,35.71,249.98,1086.24
E6,AMD EPYC 9J45,48,768.0,2.256,54.14,379.01,1646.88
E6,AMD EPYC 9J45,64,128.0,1.216,29.18,204.29,887.68
E6,AMD EPYC 9J45,64,256.0,1.472,35.33,247.3,1074.56
E6,AMD EPYC 9J45,64,512.0,1.984,47.62,333.31,1448.32
E6,AMD EPYC 9J45,64,1024.0,3.008,72.19,505.34,2195.84
E6,AMD EPYC 9J45,96,192.0,1.824,43.78,306.43,1331.52
E6,AMD EPYC 9J45,96,384.0,2.208,52.99,370.94,1611.84
E6,AMD EPYC 9J45,96,768.0,2.976,71.42,499.97,2172.48
E6,AMD EPYC 9J45,128,256.0,2.432,58.37,408.58,1775.36
E6,AMD EPYC 9J45,128,512.0,2.944,70.66,494.59,2149.12
E6,AMD EPYC 9J45,128,1024.0,3.968,95.23,666.62,2896.64
E6,AMD EPYC 9J45,192,384.0,3.648,87.55,612.86,2663.04
E6,AMD EPYC 9J45,192,768.0,4.416,105.98,741.89,3223.68
E6 Ax,AMD EPYC 9J45,2,4.0,0.057,1.37,9.58,41.61
E6 Ax,AMD EPYC 9J45,2,8.0,0.1002,2.4,16.83,73.15
E6 Ax,AMD EPYC 9J45,2,16.0,0.1866,4.48,31.35,136.22
E6 Ax,AMD EPYC 9J45,2,32.0,0.3594,8.63,60.38,262.36
E6 Ax,AMD EPYC 9J45,4,8.0,0.114,2.74,19.15,83.22
E6 Ax,AMD EPYC 9J45,4,16.0,0.2004,4.81,33.67,146.29
E6 Ax,AMD EPYC 9J45,4,32.0,0.3732,8.96,62.7,272.44
E6 Ax,AMD EPYC 9J45,4,64.0,0.7188,17.25,120.76,524.72
E6 Ax,AMD EPYC 9J45,8,16.0,0.228,5.47,38.3,166.44
E6 Ax,AMD EPYC 9J45,8,32.0,0.4008,9.62,67.33,292.58
E6 Ax,AMD EPYC 9J45,8,64.0,0.7464,17.91,125.4,544.87
E6 Ax,AMD EPYC 9J45,8,128.0,1.4376,34.5,241.52,1049.45
E6 Ax,AMD EPYC 9J45,16,32.0,0.456,10.94,76.61,332.88
E6 Ax,AMD EPYC 9J45,16,64.0,0.8016,19.24,134.67,585.17
E6 Ax,AMD EPYC 9J45,16,128.0,1.4928,35.83,250.79,1089.74
E6 Ax,AMD EPYC 9J45,16,256.0,2.8752,69.0,483.03,2098.9
E6 Ax,AMD EPYC 9J45,32,64.0,0.912,21.89,153.22,665.76
E6 Ax,AMD EPYC 9J45,32,128.0,1.6032,38.48,269.34,1170.34
E6 Ax,AMD EPYC 9J45,32,256.0,2.9856,71.65,501.58,2179.49
E6 Ax,AMD EPYC 9J45,32,512.0,5.7504,138.01,966.07,4197.79
E6 Ax,AMD EPYC 9J45,48,96.0,1.368,32.83,229.82,998.64
E6 Ax,AMD EPYC 9J45,48,192.0,2.4048,57.72,404.01,1755.5
E6 Ax,AMD EPYC 9J45,48,384.0,4.4784,107.48,752.37,3269.23
E6 Ax,AMD EPYC 9J45,64,128.0,1.824,43.78,306.43,1331.52
E6 Ax,AMD EPYC 9J45,64,256.0,3.2064,76.95,538.68,2340.67
E6 Ax,AMD EPYC 9J45,64,512.0,5.9712,143.31,1003.16,4358.98
E6 Ax,AMD EPYC 9J45,96,192.0,2.736,65.66,459.65,1997.28
E6 Ax,AMD EPYC 9J45,96,384.0,4.8096,115.43,808.01,3511.01
E6 Ax,AMD EPYC 9J45,128,256.0,3.648,87.55,612.86,2663.04
E6 Ax,AMD EPYC 9J45,128,512.0,6.4128,153.91,1077.35,4681.34
X9,Intel Xeon Platinum 8358,2,4.0,0.046,1.1,7.73,33.58
X9,Intel Xeon Platinum 8358,2,8.0,0.052,1.25,8.74,37.96
X9,Intel Xeon Platinum 8358,2,16.0,0.064,1.54,10.75,46.72
X9,Intel Xeon Platinum 8358,2,32.0,0.088,2.11,14.78,64.24
X9,Intel Xeon Platinum 8358,4,8.0,0.092,2.21,15.46,67.16
X9,Intel Xeon Platinum 8358,4,16.0,0.104,2.5,17.47,75.92
X9,Intel Xeon Platinum 8358,4,32.0,0.128,3.07,21.5,93.44
X9,Intel Xeon Platinum 8358,4,64.0,0.176,4.22,29.57,128.48
X9,Intel Xeon Platinum 8358,8,16.0,0.184,4.42,30.91,134.32
X9,Intel Xeon Platinum 8358,8,32.0,0.208,4.99,34.94,151.84
X9,Intel Xeon Platinum 8358,8,64.0,0.256,6.14,43.01,186.88
X9,Intel Xeon Platinum 8358,8,128.0,0.352,8.45,59.14,256.96
X9,Intel Xeon Platinum 8358,16,32.0,0.368,8.83,61.82,268.64
X9,Intel Xeon Platinum 8358,16,64.0,0.416,9.98,69.89,303.68
X9,Intel Xeon Platinum 8358,16,128.0,0.512,12.29,86.02,373.76
X9,Intel Xeon Platinum 8358,16,256.0,0.704,16.9,118.27,513.92
X9,Intel Xeon Platinum 8358,32,64.0,0.736,17.66,123.65,537.28
X9,Intel Xeon Platinum 8358,32,128.0,0.832,19.97,139.78,607.36
X9,Intel Xeon Platinum 8358,32,256.0,1.024,24.58,172.03,747.52
X9,Intel Xeon Platinum 8358,32,512.0,1.408,33.79,236.54,1027.84
X9,Intel Xeon Platinum 8358,48,96.0,1.104,26.5,185.47,805.92
X9,Intel Xeon Platinum 8358,48,192.0,1.248,29.95,209.66,911.04
X9,Intel Xeon Platinum 8358,48,384.0,1.536,36.86,258.05,1121.28
X9,Intel Xeon Platinum 8358,48,768.0,2.112,50.69,354.82,1541.76
X9,Intel Xeon Platinum 8358,64,128.0,1.472,35.33,247.3,1074.56
X9,Intel Xeon Platinum 8358,64,256.0,1.664,39.94,279.55,1214.72
X9,Intel Xeon Platinum 8358,64,512.0,2.048,49.15,344.06,1495.04
