provider,region,state,family,architecture,processor,vCPU,ram(GB),price($/h),N-price($/h),daily_price,N-daily_price,weekly_price,N-weekly_price,monthly_price,N-monthly_price
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,16,64,0.2832,0.20229,6.8,4.8571,47.58,33.986,206.74,147.67
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,16,128,0.456,0.32571,10.94,7.8143,76.61,54.721,332.88,237.77
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,16,256,0.8016,0.57257,19.24,13.7429,134.67,96.193,585.17,417.98
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,32,64,0.3936,0.28114,9.45,6.75,66.12,47.229,287.33,205.24
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,32,128,0.5664,0.40457,13.59,9.7071,95.16,67.971,413.47,295.34
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,32,256,0.912,0.65143,21.89,15.6357,153.22,109.443,665.76,475.54
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,32,512,1.6032,1.14514,38.48,27.4857,269.34,192.386,1170.34,835.96
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,48,96,0.5904,0.42171,14.17,10.1214,99.19,70.85,430.99,307.85
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,48,192,0.8496,0.60686,20.39,14.5643,142.73,101.95,620.21,443.01
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,48,384,1.368,0.97714,32.83,23.45,229.82,164.157,998.64,713.31
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,64,128,0.7872,0.56229,18.89,13.4929,132.25,94.464,574.66,410.47
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,64,256,1.1328,0.80914,27.19,19.4214,190.31,135.936,826.94,590.67
oci,global,global,A4,ARM,Ampere AmpereOne M A06-36M,64,512,1.824,1.30286,43.78,31.2714,306.43,218.879,1331.52,951.09
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,2,4,0.0526,0.03757,1.26,0.9,8.84,6.314,38.4,27.43
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,2,8,0.0862,0.06157,2.07,1.4786,14.48,10.343,62.93,44.95
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,2,16,0.1534,0.10957,3.68,2.6286,25.77,18.407,111.98,79.99
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,2,32,0.2878,0.20557,6.91,4.9357,48.35,34.536,210.09,150.06
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,4,8,0.1052,0.07514,2.52,1.8,17.67,12.621,76.8,54.86
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,4,16,0.1724,0.12314,4.14,2.9571,28.96,20.686,125.85,89.89
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,4,32,0.3068,0.21914,7.36,5.2571,51.54,36.814,223.96,159.97
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,4,64,0.5756,0.41114,13.81,9.8643,96.7,69.071,420.19,300.14
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,8,16,0.2104,0.15029,5.05,3.6071,35.35,25.25,153.59,109.71
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,8,32,0.3448,0.24629,8.28,5.9143,57.93,41.379,251.7,179.79
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,8,64,0.6136,0.43829,14.73,10.5214,103.08,73.629,447.93,319.95
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,8,128,1.1512,0.82229,27.63,19.7357,193.4,138.143,840.38,600.27
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,16,32,0.4208,0.30057,10.1,7.2143,70.69,50.493,307.18,219.41
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,16,64,0.6896,0.49257,16.55,11.8214,115.85,82.75,503.41,359.58
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,16,128,1.2272,0.87657,29.45,21.0357,206.17,147.264,895.86,639.9
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,16,256,2.3024,1.64457,55.26,39.4714,386.8,276.286,1680.75,1200.54
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,32,64,0.8416,0.60114,20.2,14.4286,141.39,100.993,614.37,438.84
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,32,128,1.3792,0.98514,33.1,23.6429,231.71,165.507,1006.82,719.16
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,32,256,2.4544,1.75314,58.91,42.0786,412.34,294.529,1791.71,1279.79
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,32,512,4.6048,3.28914,110.52,78.9429,773.61,552.579,3361.5,2401.07
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,48,96,1.2624,0.90171,30.3,21.6429,212.08,151.486,921.55,658.25
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,48,192,2.0688,1.47771,49.65,35.4643,347.56,248.257,1510.22,1078.73
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,48,384,3.6816,2.62971,88.36,63.1143,618.51,441.793,2687.57,1919.69
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,64,128,1.6832,1.20229,40.4,28.8571,282.78,201.986,1228.74,877.67
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,64,256,2.7584,1.97029,66.2,47.2857,463.41,331.007,2013.63,1438.31
oci,global,global,A4 Ax,ARM,Ampere AmpereOne M 192-36M,64,512,4.9088,3.50629,117.81,84.15,824.68,589.057,3583.42,2559.59
